epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,469.215,1.36951,1.00906,1.95914,0.75176,0.83382,0.88908,0.51488,1.45858,1.08185,2.48416,0.0091486,0.0091486,0.0091486
45,479.607,1.36755,0.9509,1.94096,0.7719,0.80721,0.84541,0.29254,2.04444,1.26886,3.12599,0.0091288,0.0091288,0.0091288
46,490.151,1.37745,0.94254,1.95335,0.89813,0.75523,0.88153,0.45051,1.59527,1.3257,2.54677,0.009109,0.009109,0.009109
47,500.616,1.39819,0.9983,1.98828,0.7585,0.745,0.8195,0.48656,1.46853,1.00875,2.47558,0.0090892,0.0090892,0.0090892
48,510.925,1.37521,0.98697,1.95766,0.79394,0.89309,0.89888,0.5197,1.34625,1.02799,2.29877,0.0090694,0.0090694,0.0090694
49,521.225,1.33109,0.94874,1.93348,0.81348,0.89,0.92897,0.47329,1.61471,1.0461,2.45842,0.0090496,0.0090496,0.0090496
50,531.446,1.34423,0.97389,1.92312,0.71755,0.825,0.87041,0.53063,1.366,0.96767,2.43754,0.0090298,0.0090298,0.0090298
51,541.742,1.36863,0.97578,1.94874,0.82067,0.93845,0.9453,0.56679,1.27198,0.84613,2.20651,0.00901,0.00901,0.00901
52,552.785,1.38534,1.00389,1.95387,0.88522,0.935,0.95801,0.5809,1.38842,0.89429,2.41516,0.0089902,0.0089902,0.0089902
53,563.995,1.31471,0.93361,1.90246,0.94262,0.93799,0.97466,0.6121,1.23503,0.80915,2.26304,0.0089704,0.0089704,0.0089704
54,575.13,1.28525,0.91657,1.86591,0.84237,0.93,0.91533,0.52506,1.37158,0.98061,2.31502,0.0089506,0.0089506,0.0089506
55,585.405,1.26702,0.89893,1.84228,0.90819,0.915,0.97328,0.61793,1.19933,0.8122,2.13038,0.0089308,0.0089308,0.0089308
56,596.712,1.25991,0.90535,1.8616,0.74944,0.865,0.8608,0.51043,1.39209,0.99661,2.50795,0.008911,0.008911,0.008911
57,607.182,1.2548,0.91103,1.86376,0.90947,0.95,0.96232,0.59711,1.26764,0.77953,2.27753,0.0088912,0.0088912,0.0088912
58,617.542,1.26028,0.88362,1.86229,0.74771,0.86885,0.94259,0.57696,1.24286,1.0185,2.20886,0.0088714,0.0088714,0.0088714
59,627.754,1.25567,0.86767,1.84772,0.83269,0.77963,0.88116,0.42527,1.77577,1.26179,2.67166,0.0088516,0.0088516,0.0088516
60,638.153,1.21146,0.8721,1.80692,0.81651,0.88101,0.97339,0.61367,1.2008,0.98278,2.18535,0.0088318,0.0088318,0.0088318
61,648.438,1.20755,0.87079,1.80124,0.7292,0.92425,0.89242,0.53311,1.28482,0.99801,2.19444,0.008812,0.008812,0.008812
62,658.807,1.15743,0.82671,1.75043,0.86081,0.91023,0.96578,0.46643,1.62202,0.95323,2.46047,0.0087922,0.0087922,0.0087922
63,669.104,1.14531,0.82006,1.75111,0.8866,0.95,0.96448,0.63746,1.08251,0.75084,2.07698,0.0087724,0.0087724,0.0087724
64,679.882,1.17615,0.8317,1.78509,0.92618,0.965,0.97541,0.65962,1.0712,0.70765,2.0242,0.0087526,0.0087526,0.0087526
65,690.713,1.18747,0.84005,1.77333,0.96084,0.96957,0.98501,0.61805,1.26406,0.77617,2.20755,0.0087328,0.0087328,0.0087328
66,700.966,1.17924,0.81677,1.79773,0.93783,0.905,0.94813,0.63289,1.16067,0.71031,2.18521,0.008713,0.008713,0.008713
67,711.324,1.19519,0.82278,1.79966,0.92859,0.97243,0.98003,0.62135,1.10356,0.77937,2.12005,0.0086932,0.0086932,0.0086932
68,721.403,1.16905,0.79139,1.77193,0.94969,0.96845,0.96708,0.61692,1.23323,0.70001,2.16778,0.0086734,0.0086734,0.0086734
69,731.833,1.17477,0.83402,1.77329,0.94572,0.965,0.97658,0.67198,1.05603,0.66377,1.97183,0.0086536,0.0086536,0.0086536
70,742.92,1.17621,0.81687,1.77887,0.96829,0.97166,0.97902,0.63873,1.16532,0.68339,2.08429,0.0086338,0.0086338,0.0086338
71,753.113,1.16485,0.80666,1.76193,0.92328,0.95324,0.97537,0.64707,1.08327,0.74504,2.03385,0.008614,0.008614,0.008614
72,763.28,1.20692,0.81191,1.76948,0.95238,0.955,0.97172,0.65223,1.08609,0.66493,2.0349,0.0085942,0.0085942,0.0085942
73,773.597,1.20171,0.8145,1.78854,0.95064,0.95827,0.98218,0.63804,1.10271,0.71268,1.97908,0.0085744,0.0085744,0.0085744
