epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.94682,2.92603,4.37049,3.31049,0,0,0,0,nan,nan,nan,0.0706,0.00326667,0.00326667
2,20.3738,2.86423,3.28375,3.24606,0,0,0,0,nan,nan,nan,0.0405869,0.00658693,0.00658693
3,30.9735,2.66696,3.11594,3.09627,0,0,0,0,nan,nan,nan,0.0105607,0.009894,0.009894
4,42.1717,2.61151,3.00473,3.02279,0,0,0,0,nan,nan,nan,0.0099406,0.0099406,0.0099406
5,53.1428,2.50988,2.64824,2.90977,0.06094,0.015,0.00123,0.00044,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,64.0186,2.47311,2.46294,2.87564,0.00827,0.35,0.00599,0.00108,nan,nan,nan,0.009901,0.009901,0.009901
