epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,481.726,1.30066,0.98188,1.93839,0.92302,0.805,0.89772,0.49773,1.50188,1.1614,2.67646,0.0091486,0.0091486,0.0091486
45,492.485,1.2967,0.93468,1.90022,0.9279,0.86,0.92616,0.61329,1.15584,0.99011,2.2301,0.0091288,0.0091288,0.0091288
46,503.727,1.29539,0.93614,1.91751,0.87319,0.865,0.89078,0.57011,1.22079,0.89246,2.20887,0.009109,0.009109,0.009109
47,514.388,1.24908,0.90696,1.84268,0.94109,0.835,0.89574,0.57481,1.28688,0.8886,2.32397,0.0090892,0.0090892,0.0090892
48,525.079,1.17416,0.83599,1.76998,0.75036,0.67232,0.73143,0.32426,1.91446,1.75303,3.21373,0.0090694,0.0090694,0.0090694
49,535.662,1.20545,0.90086,1.83804,0.70314,0.84955,0.92108,0.59115,1.1532,1.03694,2.23148,0.0090496,0.0090496,0.0090496
50,546.302,1.19284,0.85769,1.79859,0.87289,0.675,0.79679,0.49008,1.48258,1.50604,2.55551,0.0090298,0.0090298,0.0090298
51,557.023,1.20039,0.84342,1.80683,0.90817,0.895,0.95084,0.67553,1.06802,0.79936,2.07134,0.00901,0.00901,0.00901
52,568.517,1.22467,0.85123,1.82845,0.76516,0.74084,0.85076,0.42257,1.74595,1.50144,3.22933,0.0089902,0.0089902,0.0089902
53,579.189,1.2055,0.82655,1.80022,0.87974,0.86,0.92782,0.57216,1.22587,0.98028,2.35461,0.0089704,0.0089704,0.0089704
54,589.791,1.18335,0.83472,1.79372,0.96414,0.97557,0.97935,0.6715,1.05862,0.65214,2.07205,0.0089506,0.0089506,0.0089506
55,600.439,1.22053,0.84586,1.77973,0.92746,0.87,0.93185,0.62649,1.14005,0.79791,2.22528,0.0089308,0.0089308,0.0089308
56,611.173,1.20089,0.84272,1.82814,0.59094,0.86815,0.93734,0.57519,1.27616,1.26975,2.39187,0.008911,0.008911,0.008911
57,621.838,1.19228,0.86729,1.8013,0.98976,0.47851,0.70283,0.39127,1.60289,1.88275,2.98135,0.0088912,0.0088912,0.0088912
58,632.518,1.15018,0.77831,1.77556,0.91543,0.93876,0.97177,0.67404,1.037,0.70055,2.08251,0.0088714,0.0088714,0.0088714
59,643.782,1.17149,0.84379,1.79084,0.95446,0.895,0.95268,0.61469,1.23522,0.85622,2.2881,0.0088516,0.0088516,0.0088516
60,654.396,1.13496,0.79204,1.73311,0.94006,0.92399,0.95734,0.63118,1.16182,0.71422,2.25057,0.0088318,0.0088318,0.0088318
61,665.011,1.13684,0.8116,1.75185,0.86502,0.92922,0.96256,0.68293,0.98192,0.67144,2.04247,0.008812,0.008812,0.008812
62,676.355,1.13356,0.79876,1.72565,0.90091,0.74565,0.86519,0.53214,1.38706,1.07184,2.49028,0.0087922,0.0087922,0.0087922
63,687.158,1.12805,0.83899,1.73397,0.7293,0.88654,0.93223,0.61243,1.13033,1.03591,2.2297,0.0087724,0.0087724,0.0087724
64,697.869,1.15129,0.78503,1.73629,0.91142,0.865,0.93399,0.6038,1.17334,0.81213,2.19806,0.0087526,0.0087526,0.0087526
65,708.51,1.13845,0.82588,1.7701,0.87582,0.87,0.92218,0.60262,1.22788,0.85761,2.30259,0.0087328,0.0087328,0.0087328
66,719.223,1.10177,0.79983,1.6988,0.93681,0.84868,0.9377,0.62059,1.11092,0.7869,2.12584,0.008713,0.008713,0.008713
67,729.827,1.10705,0.80137,1.71228,0.79043,0.94805,0.97021,0.66805,1.0401,0.82954,2.04867,0.0086932,0.0086932,0.0086932
68,740.546,1.12519,0.78912,1.72672,0.89614,0.815,0.89427,0.62739,1.10348,1.08904,2.13239,0.0086734,0.0086734,0.0086734
69,751.229,1.10673,0.75247,1.73829,0.90891,0.92398,0.95637,0.68206,1.0129,0.70503,2.03927,0.0086536,0.0086536,0.0086536
70,761.872,1.07451,0.73597,1.66077,0.92204,0.85913,0.9244,0.61524,1.16478,0.9102,2.15964,0.0086338,0.0086338,0.0086338
71,772.509,1.09402,0.74886,1.70681,0.85511,0.91,0.93528,0.58249,1.22533,0.73176,2.25009,0.008614,0.008614,0.008614
72,783.226,1.10508,0.76309,1.73658,0.932,0.94508,0.96999,0.68652,1.01112,0.63791,2.05679,0.0085942,0.0085942,0.0085942
73,794.473,1.06986,0.74885,1.68586,0.85552,0.75,0.82194,0.525,1.36028,1.47859,2.46668,0.0085744,0.0085744,0.0085744
74,805.066,1.08827,0.7377,1.64219,0.8286,0.64522,0.73054,0.47445,1.36698,2.08486,2.48962,0.0085546,0.0085546,0.0085546
