epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96928,2.79646,7.02544,3.17392,0,0,0,0,nan,nan,nan,0.0784,0.0024,0.0024
2,16.4356,2.94079,3.38381,3.30461,0,0,0,0,nan,nan,nan,0.0549298,0.0039298,0.0039298
3,25.0935,2.68626,3.03143,3.14207,0,0,0,0,nan,nan,nan,0.0304696,0.0044696,0.0044696
4,33.4062,2.62865,2.82397,3.06411,0,0,0,0,nan,nan,nan,0.0050194,0.0040194,0.0040194
5,42.4082,2.49365,2.69586,2.97811,0.54455,0.445,0.05149,0.02256,2.21888,38.3873,2.98341,0.00208,0.00208,0.00208
