epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1723.98,1.99684,3.15036,1.85298,0.15024,0.02825,0.02918,0.01084,2.25828,3.76395,2.25437,0.0091486,0.0091486,0.0091486
45,1762.88,2.00255,3.14903,1.89005,0.10965,0.09605,0.0406,0.01666,2.01084,3.34003,2.01509,0.0091288,0.0091288,0.0091288
46,1801.55,1.98337,3.14876,1.84671,0.0911,0.06215,0.03166,0.01342,2.12889,3.67235,2.1274,0.009109,0.009109,0.009109
47,1840.46,1.98522,3.18594,1.85274,0.13267,0.0452,0.02868,0.01182,2.19626,3.62566,2.11685,0.0090892,0.0090892,0.0090892
48,1879.36,1.99083,3.15001,1.86061,0.11985,0.03107,0.02539,0.0105,2.0424,3.53813,1.96803,0.0090694,0.0090694,0.0090694
49,1918,1.97541,3.1174,1.85609,0.15545,0.12429,0.05592,0.02318,1.98019,3.13866,1.95315,0.0090496,0.0090496,0.0090496
50,1957.24,1.98487,3.12387,1.85464,0.07905,0.0904,0.03112,0.01314,2.17952,3.73533,2.12655,0.0090298,0.0090298,0.0090298
51,1995.86,1.99912,3.12289,1.84378,0.13956,0.06415,0.04149,0.01554,2.09738,3.58978,2.05106,0.00901,0.00901,0.00901
52,2034.47,1.98194,3.15397,1.85829,0.15094,0.07345,0.04456,0.0182,2.05558,3.2965,2.01335,0.0089902,0.0089902,0.0089902
53,2073.08,1.97094,3.11599,1.84543,0.20022,0.04237,0.05129,0.01982,1.94631,3.15484,1.93621,0.0089704,0.0089704,0.0089704
54,2111.77,2.00594,3.1423,1.86761,0.17021,0.07627,0.05542,0.02109,1.97372,3.12256,1.96406,0.0089506,0.0089506,0.0089506
55,2150.45,1.96807,3.08922,1.83663,0.10733,0.0678,0.03975,0.01634,2.02447,3.31571,1.99211,0.0089308,0.0089308,0.0089308
56,2189.19,1.97042,3.11581,1.84325,0.10426,0.08475,0.03975,0.01635,1.98076,3.12303,1.98266,0.008911,0.008911,0.008911
57,2227.94,1.97945,3.12111,1.85641,0.16293,0.07062,0.05278,0.02121,1.92192,3.11936,1.93715,0.0088912,0.0088912,0.0088912
58,2266.58,1.98834,3.10779,1.85697,0.20379,0.03955,0.04553,0.01811,1.92512,3.46381,1.94544,0.0088714,0.0088714,0.0088714
59,2305.19,1.97759,3.0541,1.84261,0.12595,0.05367,0.04744,0.01716,2.01076,3.21979,1.97839,0.0088516,0.0088516,0.0088516
60,2343.83,1.96757,3.0467,1.84632,0.17617,0.06215,0.04464,0.01601,1.95792,3.24809,1.94202,0.0088318,0.0088318,0.0088318
61,2382.42,1.97329,3.09774,1.84565,0.1951,0.06711,0.05025,0.02051,1.98854,3.39394,1.9615,0.008812,0.008812,0.008812
62,2421.23,1.9819,3.09987,1.84568,0.13802,0.12429,0.05652,0.02305,1.91862,3.05423,1.89185,0.0087922,0.0087922,0.0087922
63,2459.85,1.95329,3.09157,1.83844,0.14905,0.09605,0.05065,0.02161,1.93048,3.1435,1.94472,0.0087724,0.0087724,0.0087724
64,2498.56,1.96042,3.06779,1.8457,0.14381,0.10169,0.05961,0.02427,1.91834,3.02721,1.91645,0.0087526,0.0087526,0.0087526
65,2537.58,1.94799,3.04566,1.82493,0.19411,0.06497,0.05839,0.02459,1.92363,3.11644,1.91315,0.0087328,0.0087328,0.0087328
66,2576.69,1.95848,3.06734,1.83473,0.17118,0.03955,0.03662,0.01401,1.96243,3.3803,1.94086,0.008713,0.008713,0.008713
67,2615.44,1.97213,3.11892,1.83087,0.15292,0.07062,0.05144,0.02073,1.91932,3.09254,1.92146,0.0086932,0.0086932,0.0086932
68,2654.24,1.97561,3.06943,1.83922,0.17174,0.10169,0.05729,0.02468,1.97137,3.09817,1.94524,0.0086734,0.0086734,0.0086734
69,2692.94,1.97814,3.06617,1.83938,0.13964,0.12429,0.05933,0.02658,1.90564,2.97427,1.90057,0.0086536,0.0086536,0.0086536
70,2732.06,1.94821,3.05484,1.82644,0.17316,0.10452,0.06021,0.02499,1.94902,3.04272,1.92138,0.0086338,0.0086338,0.0086338
71,2770.73,1.97754,3.07356,1.83331,0.15452,0.06215,0.05211,0.02182,1.94891,3.12067,1.92674,0.008614,0.008614,0.008614
72,2809.55,1.95995,3.0902,1.8258,0.18282,0.05932,0.05731,0.0252,1.91734,3.09765,1.92035,0.0085942,0.0085942,0.0085942
73,2848.29,1.96444,3.02346,1.83961,0.16296,0.12484,0.06382,0.02842,1.90559,3.00742,1.90165,0.0085744,0.0085744,0.0085744
74,2887.39,1.96727,3.05338,1.83161,0.16616,0.11864,0.05858,0.02483,1.89541,2.99604,1.88907,0.0085546,0.0085546,0.0085546
75,2926.02,1.9457,3.09911,1.84827,0.15509,0.06215,0.05905,0.02309,1.90822,3.11093,1.89084,0.0085348,0.0085348,0.0085348
76,2964.69,1.95701,3.06062,1.82483,0.19659,0.0904,0.05709,0.0243,1.91112,3.10089,1.90886,0.008515,0.008515,0.008515
77,3003.48,1.93336,3.03907,1.8263,0.17183,0.09322,0.06018,0.02624,1.90795,3.05308,1.91367,0.0084952,0.0084952,0.0084952
78,3042.26,1.93477,3.06638,1.82845,0.17289,0.11299,0.06572,0.02772,1.8785,2.99819,1.89349,0.0084754,0.0084754,0.0084754
79,3081.08,1.93095,3.01907,1.80947,0.18312,0.09887,0.06105,0.02511,1.90381,3.04733,1.90777,0.0084556,0.0084556,0.0084556
80,3119.8,1.95719,3.10285,1.85041,0.1894,0.12712,0.06095,0.02509,1.90697,2.98832,1.905,0.0084358,0.0084358,0.0084358
81,3158.56,1.93729,3.02848,1.8237,0.18665,0.10169,0.06292,0.02725,1.8922,3.025,1.89216,0.008416,0.008416,0.008416
82,3197.32,1.94523,3.04556,1.81183,0.16067,0.09887,0.06038,0.02534,1.90215,3.0308,1.8884,0.0083962,0.0083962,0.0083962
83,3236.05,1.95363,3.02785,1.82489,0.16238,0.10169,0.06171,0.02649,1.89559,3.00276,1.89266,0.0083764,0.0083764,0.0083764
84,3274.89,1.95451,3.03248,1.81506,0.1496,0.09322,0.06035,0.02558,1.90174,2.98697,1.8776,0.0083566,0.0083566,0.0083566
85,3313.78,1.94906,3.0212,1.82351,0.16509,0.08475,0.06285,0.02623,1.89303,2.9955,1.87858,0.0083368,0.0083368,0.0083368
86,3352.41,1.94587,3.03106,1.82864,0.15873,0.11864,0.05941,0.02523,1.89806,2.99691,1.89189,0.008317,0.008317,0.008317
87,3391.21,1.94804,3.01381,1.8217,0.16372,0.09605,0.05794,0.02473,1.9058,3.01941,1.89127,0.0082972,0.0082972,0.0082972
88,3429.85,1.936,3.01594,1.82741,0.15935,0.09887,0.06086,0.02589,1.90777,3.00614,1.89648,0.0082774,0.0082774,0.0082774
89,3468.46,1.95427,3.02118,1.84006,0.16818,0.12429,0.0607,0.02683,1.91561,2.9731,1.90039,0.0082576,0.0082576,0.0082576
