epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,386.762,1.29409,0.93861,1.90305,0.59448,0.84563,0.87328,0.46793,1.54564,1.24153,2.57776,0.0091486,0.0091486,0.0091486
45,395.379,1.29571,0.91057,1.88715,0.83042,0.8627,0.91715,0.54689,1.33673,1.02045,2.42505,0.0091288,0.0091288,0.0091288
46,404.001,1.26249,0.85949,1.87132,0.87034,0.7861,0.88099,0.57127,1.30413,1.0415,2.42437,0.009109,0.009109,0.009109
47,412.841,1.27446,0.90285,1.888,0.82821,0.84243,0.91196,0.55035,1.42296,1.11794,2.47002,0.0090892,0.0090892,0.0090892
48,421.504,1.29297,0.93292,1.89362,0.76571,0.825,0.91025,0.58471,1.29458,1.13571,2.31659,0.0090694,0.0090694,0.0090694
49,430.285,1.26791,0.89966,1.90122,0.89324,0.93,0.9525,0.58128,1.38052,0.92586,2.40293,0.0090496,0.0090496,0.0090496
50,439.143,1.25469,0.89456,1.88354,0.84225,0.72405,0.89563,0.54425,1.38267,1.08799,2.51831,0.0090298,0.0090298,0.0090298
51,447.927,1.23448,0.85094,1.85455,0.90012,0.76179,0.8934,0.47936,1.55731,1.32258,2.67079,0.00901,0.00901,0.00901
52,456.57,1.2473,0.88085,1.83749,0.89421,0.92,0.94908,0.59206,1.25262,0.90818,2.26915,0.0089902,0.0089902,0.0089902
53,465.389,1.21071,0.8715,1.83484,0.90326,0.8986,0.94677,0.60186,1.30818,1.13875,2.30583,0.0089704,0.0089704,0.0089704
54,474.178,1.23163,0.89225,1.86249,0.77249,0.86054,0.9245,0.46846,1.68823,0.98809,2.74716,0.0089506,0.0089506,0.0089506
55,482.851,1.23629,0.84972,1.85348,0.78779,0.46109,0.44742,0.24458,1.75047,2.1499,3.07702,0.0089308,0.0089308,0.0089308
56,491.437,1.24255,0.86708,1.85125,0.90867,0.805,0.91663,0.5615,1.30912,0.99592,2.37873,0.008911,0.008911,0.008911
57,500.034,1.1689,0.84005,1.79941,0.94883,0.92251,0.97005,0.62793,1.20911,0.76938,2.26751,0.0088912,0.0088912,0.0088912
58,508.799,1.2182,0.84735,1.83502,0.93856,0.81,0.92779,0.58478,1.24531,1.05556,2.31617,0.0088714,0.0088714,0.0088714
