epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69587,2.51746,6.09651,2.95933,0,0,0,0,nan,nan,nan,0.0784,0.0024,0.0024
2,9.97466,2.38056,2.75639,2.91322,0,0,0,0,nan,nan,nan,0.0549298,0.0039298,0.0039298
3,14.3652,2.10656,2.39268,2.74861,0,0,0,0,nan,nan,nan,0.0304696,0.0044696,0.0044696
4,18.8248,2.02004,2.20121,2.62727,9e-05,0.025,4e-05,1e-05,3.97213,inf,4.7892,0.0050194,0.0040194,0.0040194
5,23.2221,1.85391,2.0185,2.51133,0.00016,0.02,4e-05,0,3.90209,inf,4.98741,0.00208,0.00208,0.00208
