epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,185.111,1.16674,0.84981,1.78788,0.55826,0.605,0.61859,0.31518,1.69998,2.29246,2.85262,0.0091486,0.0091486,0.0091486
45,189.221,1.14141,0.81275,1.75802,0.80542,0.85,0.88642,0.49656,1.57232,0.95416,2.71576,0.0091288,0.0091288,0.0091288
46,193.392,1.0871,0.74556,1.70988,0.84533,0.86,0.8987,0.54444,1.40555,0.84852,2.41171,0.009109,0.009109,0.009109
47,197.517,1.13594,0.77503,1.75816,0.91909,0.92,0.9655,0.62469,1.15909,0.77407,2.22604,0.0090892,0.0090892,0.0090892
48,202.091,1.15538,0.81663,1.76198,0.25425,0.255,0.20622,0.09014,2.46882,3.11831,3.60937,0.0090694,0.0090694,0.0090694
49,206.159,1.11827,0.79345,1.74402,0.9523,0.95,0.97578,0.66726,1.11001,0.71143,2.16348,0.0090496,0.0090496,0.0090496
50,210.478,1.10715,0.77274,1.73965,0.79001,0.88,0.92911,0.54147,1.4798,0.92431,2.61375,0.0090298,0.0090298,0.0090298
51,214.629,1.09832,0.77604,1.74412,0.43116,0.445,0.3836,0.16073,2.12784,2.80037,3.38565,0.00901,0.00901,0.00901
52,218.917,1.08106,0.78837,1.68383,0.7116,0.679,0.74952,0.4262,1.54734,1.72225,2.68925,0.0089902,0.0089902,0.0089902
53,223.007,1.02371,0.74378,1.65893,0.89879,0.83515,0.90829,0.60111,1.27421,0.91216,2.35032,0.0089704,0.0089704,0.0089704
54,227.114,1.09309,0.74959,1.72323,0.79315,0.825,0.87298,0.45111,1.7424,1.01854,2.91515,0.0089506,0.0089506,0.0089506
55,231.169,1.06157,0.74405,1.6861,0.79724,0.41781,0.51011,0.1802,2.62476,2.68339,4.80273,0.0089308,0.0089308,0.0089308
56,235.214,1.06164,0.73629,1.69085,0.66944,0.55444,0.60012,0.28922,2.19727,2.42313,3.46363,0.008911,0.008911,0.008911
57,239.289,1.04139,0.71838,1.66662,0.9039,0.93,0.96175,0.6739,1.09241,0.72607,2.13158,0.0088912,0.0088912,0.0088912
58,243.533,1.04371,0.71549,1.67685,0.9473,0.78813,0.91471,0.56052,1.42005,1.1645,2.52502,0.0088714,0.0088714,0.0088714
59,247.546,1.07491,0.74112,1.69516,0.95465,0.905,0.95792,0.65686,1.12533,0.77321,2.22569,0.0088516,0.0088516,0.0088516
60,251.824,1.07138,0.75283,1.67934,0.89204,0.87094,0.93684,0.63187,1.10354,0.80695,2.20011,0.0088318,0.0088318,0.0088318
61,256.002,1.02813,0.73825,1.64769,0.9219,0.86365,0.93724,0.63791,1.24382,0.8151,2.28516,0.008812,0.008812,0.008812
62,260.29,1.01318,0.70429,1.64016,0.97874,0.92834,0.98009,0.6672,1.16767,0.65773,2.17116,0.0087922,0.0087922,0.0087922
63,264.388,1.02266,0.70743,1.64689,0.86207,0.78,0.84445,0.58093,1.27194,0.89733,2.31089,0.0087724,0.0087724,0.0087724
64,268.535,1.04781,0.72005,1.66311,0.66856,0.88918,0.89997,0.51297,1.50333,0.84988,2.75963,0.0087526,0.0087526,0.0087526
65,272.664,1.00916,0.6964,1.63023,0.95731,0.95022,0.98137,0.66905,1.10276,0.63146,2.1324,0.0087328,0.0087328,0.0087328
66,276.789,1.0033,0.70133,1.65345,0.92529,0.9108,0.96345,0.67723,1.07541,0.69362,2.13095,0.008713,0.008713,0.008713
67,281.202,1.0212,0.68085,1.65594,0.30952,0.385,0.27399,0.12406,2.15043,4.92929,3.24089,0.0086932,0.0086932,0.0086932
68,285.316,1.01222,0.72115,1.63616,0.95169,0.9627,0.97183,0.69955,0.97641,0.60153,2.01154,0.0086734,0.0086734,0.0086734
69,289.731,1.01546,0.69833,1.62986,0.90442,0.88,0.92696,0.51583,1.53907,1.01744,2.80338,0.0086536,0.0086536,0.0086536
70,293.867,1.04132,0.70834,1.66996,0.94446,0.895,0.94158,0.59758,1.27082,0.74581,2.35878,0.0086338,0.0086338,0.0086338
71,297.894,0.98896,0.68379,1.62329,0.6678,0.78,0.83943,0.49591,1.43378,1.13145,2.50587,0.008614,0.008614,0.008614
72,301.948,1.04518,0.70263,1.6442,0.54564,0.20304,0.329,0.08824,2.76597,4.36171,3.80386,0.0085942,0.0085942,0.0085942
73,305.997,0.99273,0.68899,1.60314,0.6759,0.58,0.62926,0.38947,1.59726,1.87617,2.70376,0.0085744,0.0085744,0.0085744
74,310.051,1.00066,0.66341,1.60294,0.93533,0.91893,0.94586,0.66409,1.15616,0.81191,2.1844,0.0085546,0.0085546,0.0085546
75,314.079,0.96495,0.66514,1.58321,0.91146,0.89001,0.94289,0.65327,1.03228,0.74542,2.06743,0.0085348,0.0085348,0.0085348
76,318.142,0.98149,0.65562,1.59685,0.94256,0.95,0.9696,0.66155,1.08195,0.7096,2.14311,0.008515,0.008515,0.008515
77,322.184,1.00132,0.67436,1.62137,0.90601,0.94643,0.97063,0.67011,1.07608,0.67881,2.08473,0.0084952,0.0084952,0.0084952
78,326.336,0.94499,0.67384,1.5886,0.96971,0.97,0.98722,0.71125,1.03569,0.61766,2.10314,0.0084754,0.0084754,0.0084754
79,330.638,0.99357,0.6849,1.61976,0.98119,0.94484,0.98259,0.69179,1.03008,0.61296,2.05736,0.0084556,0.0084556,0.0084556
80,334.706,0.97791,0.65198,1.59909,0.94782,0.935,0.97012,0.65892,1.1813,0.65735,2.25225,0.0084358,0.0084358,0.0084358
81,338.76,0.97643,0.6602,1.6184,0.89333,0.90255,0.95869,0.64529,1.17252,0.73299,2.23389,0.008416,0.008416,0.008416
82,342.855,0.97773,0.63598,1.59076,0.87816,0.87473,0.94252,0.67694,1.00234,0.66622,1.99643,0.0083962,0.0083962,0.0083962
83,346.92,0.96451,0.65198,1.58719,0.88097,0.92244,0.95412,0.6806,0.98474,0.7188,2.03105,0.0083764,0.0083764,0.0083764
84,350.992,0.95717,0.66529,1.58007,0.95924,0.95,0.98199,0.70127,0.93371,0.57572,2.00316,0.0083566,0.0083566,0.0083566
85,355.046,0.94919,0.64116,1.57752,0.93182,0.97,0.98116,0.66134,1.0736,0.63126,2.24147,0.0083368,0.0083368,0.0083368
86,359.206,0.98009,0.66291,1.60722,0.94098,0.93734,0.96833,0.70849,0.971,0.64645,1.94511,0.008317,0.008317,0.008317
