epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.58657,2.38939,4.46568,2.81057,0,0,0,0,nan,nan,nan,0.0706,0.00326667,0.00326667
2,9.30814,2.17112,2.41258,2.67702,0.00025,0.005,8e-05,1e-05,5.72115,72.8918,44.8339,0.0392932,0.0052932,0.0052932
3,13.4743,1.98714,2.09119,2.55613,0.01514,0.25,0.00742,0.00106,4.10184,93.2275,7.7303,0.0066664,0.00599973,0.00599973
4,17.5932,1.88774,1.83135,2.42008,0.20433,0.515,0.2352,0.07805,2.16683,3.41531,3.28147,0.00406,0.00406,0.00406
5,21.6809,1.76064,1.62372,2.29113,0.51183,0.715,0.59668,0.21559,2.01116,1.82015,2.76167,0.00208,0.00208,0.00208
